,Neighborhood,Price,Number of Beds,Number of Baths
1914,"Oak Square, Brighton, Boston","$2,995",3 Bed,1 Bath
1915,"Commonwealth, Brighton, Boston","$1,850",1 Bed,1 Bath
1916,"Mission Hill, Boston","$2,995",1 Bed,1 Bath
1917,"Brookline Village, Brookline","$2,100",1 Bed,1 Bath
1918,"Oak Square, Brighton, Boston","$2,300",2 Bed,1 Bath
1919,"Commonwealth, Brighton, Boston","$1,850",1 Bed,1 Bath
1920,"Commonwealth, Brighton, Boston","$2,910",3 Bed,1.5 Bath
1921,"Downtown Boston, Boston","$3,845",2 Bed,2 Bath
1922,"Downtown Boston, Boston","$2,725",1 Bed,1 Bath
1923,"Allston, Boston","$2,775",3 Bed,2 Bath
1924,"Allston, Boston","$4,800",6 Bed,2 Bath
1925,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,200",2 Bed,1 Bath
1926,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,950",Studio,1 Bath
1927,"Oak Square, Brighton, Boston","$3,000",3 Bed,2 Bath
1928,"Mid-Cambridge, Cambridge","$2,500",1 Bed,1 Bath
1929,"Oak Square, Brighton, Boston","$3,250",4 Bed,2 Bath
1930,"Oak Square, Brighton, Boston","$2,700",3 Bed,1 Bath
1931,"Commonwealth, Brighton, Boston","$4,000",4 Bed,1.5 Bath
1932,"Coolidge Corner, Brookline","$1,850",1 Bed,1 Bath
1933,"Oak Square, Brighton, Boston","$2,900",3 Bed,1 Bath
1934,"Mid-Cambridge, Cambridge","$2,400",1 Bed,1 Bath
1935,"Powder House, Somerville","$3,000",2 Bed,1 Bath
1936,"North Allston, Allston, Boston","$3,700",3 Bed,2 Bath
1937,"Columbia Point, Dorchester, Boston","$3,000",4 Bed,2 Bath
1938,"Washington Square, Brookline","$2,300",1 Bed,1 Bath
1939,"Ward Two, Somerville","$2,995",2 Bed,2 Bath
1940,"Ward Two, Somerville","$3,695",2 Bed,2 Bath
1941,"Mission Hill, Boston","$2,295",2 Bed,1 Bath
1942,"Mission Hill, Boston","$2,495",2 Bed,1 Bath
1943,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,900",2 Bed,1 Bath
1944,"Allston, Boston","$2,000",2 Bed,1 Bath
1945,"Commonwealth, Brighton, Boston","$2,100",2 Bed,1 Bath
1946,"Oak Square, Brighton, Boston","$2,400",3 Bed,1 Bath
1947,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,125",1 Bed,1 Bath
1948,"Oak Square, Brighton, Boston","$8,300",8 Bed,3.5 Bath
1949,"North Cambridge, Cambridge","$2,200",1 Bed,1 Bath
1950,"Downtown Boston, Boston","$3,500",1 Bed,1 Bath
1951,"Neighborhood Nine, Cambridge","$2,175",1 Bed,1 Bath
1952,"North Allston, Allston, Boston","$2,350",2 Bed,1 Bath
1953,"Washington Square, Brookline","$6,500",4 Bed,3 Bath
1954,"South Side, Waltham","$2,095",2 Bed,1 Bath
1955,"St. Elizabeth's, Brighton, Boston","$2,975",3 Bed,2 Bath
1956,"Commonwealth, Brighton, Boston","$3,900",5 Bed,1 Bath
1957,"Commonwealth, Brighton, Boston","$2,895",3 Bed,1 Bath
1958,"Oak Square, Brighton, Boston","$2,650",3 Bed,1 Bath
1959,"Commonwealth, Brighton, Boston","$4,600",5 Bed,3 Bath
1960,"Commonwealth, Brighton, Boston","$3,800",4 Bed,2 Bath
1961,"Mission Hill, Boston","$2,295",2 Bed,1 Bath
1962,"Mission Hill, Boston","$2,495",2 Bed,1 Bath
1963,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,900",2 Bed,1 Bath
1964,"Columbus, South End, Boston","$4,600",1 Bed,1 Bath
1965,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,500",3 Bed,1.5 Bath
1966,"Commonwealth, Brighton, Boston","$1,795",1 Bed,1 Bath
1967,"St. Elizabeth's, Brighton, Boston","$2,000",1 Bed,1 Bath
1968,"Coolidge Corner, Brookline","$3,225",1 Bed,1 Bath
1969,"North End, Boston","$2,750",2 Bed,2 Bath
1970,"Lower Roxbury, Roxbury, Boston","$2,700",1 Bed,1 Bath
1971,"Beacon Hill, Boston","$2,200",1 Bed,1 Bath
1972,"Mission Hill, Boston","$5,200",4 Bed,2 Bath
1973,"Prudential - St. Botolph, Back Bay, Boston","$3,750",2 Bed,1 Bath
1974,"St. Elizabeth's, Brighton, Boston","$1,900",1 Bed,1 Bath
1975,"Prudential - St. Botolph, Back Bay, Boston","$2,300",1 Bed,1 Bath
1976,"Commonwealth, Brighton, Boston","$2,095",2 Bed,1 Bath
1977,"Beacon Hill, Boston","$3,800",1 Bed,1 Bath
1978,"Mission Hill, Boston","$4,900",5 Bed,2 Bath
1979,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,600",2 Bed,1 Bath
1980,"Oak Square, Brighton, Boston","$3,200",3 Bed,2.5 Bath
1981,"Mission Hill, Boston","$2,295",2 Bed,1 Bath
1982,"Mission Hill, Boston","$2,495",2 Bed,1 Bath
1983,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,900",2 Bed,1 Bath
1984,"Columbus, South End, Boston","$4,600",1 Bed,1 Bath
1985,"Brookline Village, Brookline","$3,400",2 Bed,2 Bath
1986,"Back Bay West, Back Bay, Boston","$4,100",3 Bed,1 Bath
1987,"Back Bay West, Back Bay, Boston","$3,100",2 Bed,1 Bath
1988,"Mission Hill, Boston","$4,400",4 Bed,1.5 Bath
1989,"North End, Boston","$3,100",2 Bed,1 Bath
1990,"North End, Boston","$2,600",2 Bed,1 Bath
1991,"Oak Square, Brighton, Boston","$3,950",4 Bed,2 Bath
1992,"Mission Hill, Boston","$3,600",4 Bed,1 Bath
1993,"Mission Hill, Boston","$3,650",3 Bed,1 Bath
1994,"Oak Square, Brighton, Boston","$3,500",3 Bed,2 Bath
1995,"Coolidge Corner, Brookline","$4,900",4 Bed,2 Bath
1996,"North Allston, Allston, Boston","$1,825",1 Bed,1 Bath
1997,"St. Elizabeth's, Brighton, Boston","$1,875",1 Bed,1 Bath
1998,"Eagle Hill, East Boston, Boston","$2,975",3 Bed,1 Bath
1999,"Powder House, Somerville","$2,750",2 Bed,1 Bath
2000,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$5,300",2 Bed,2 Bath
2001,"North Cambridge, Cambridge","$3,900",2 Bed,2 Bath
2002,"Columbus, South End, Boston","$4,600",1 Bed,1 Bath
2003,"St. Elizabeth's, Brighton, Boston","$2,800",3 Bed,1.5 Bath
2004,"North End, Boston","$2,815",1 Bed,1 Bath
2005,"North End, Boston","$3,900",2 Bed,2 Bath
2006,"North End, Boston","$1,900",Studio,1 Bath
2007,"Oak Square, Brighton, Boston","$3,950",4 Bed,2 Bath
2008,"North Cambridge, Cambridge","$6,500",4 Bed,2 Bath
2009,"Coolidge Corner, Brookline","$7,500",3 Bed,3.5 Bath
2010,"Allston, Boston","$2,450",3 Bed,1 Bath
2011,"Commonwealth, Brighton, Boston","$2,250",2 Bed,1 Bath
2012,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,300",1 Bed,1 Bath
2013,"Oak Square, Brighton, Boston","$3,150",3 Bed,2 Bath
2014,"St. Elizabeth's, Brighton, Boston","$2,400",2 Bed,2 Bath
2015,"Mid-Cambridge, Cambridge","$2,100",1 Bed,1 Bath
2016,"Allston, Boston","$2,700",3 Bed,1 Bath
2017,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,950",3 Bed,1 Bath
2018,"Oak Square, Brighton, Boston","$2,900",3 Bed,1 Bath
2019,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,100",1 Bed,1 Bath
2020,"Watertown West End, Watertown","$3,000",3 Bed,1 Bath
2021,"St. Elizabeth's, Brighton, Boston","$2,800",3 Bed,1.5 Bath
2022,"Mission Hill, Boston","$3,465",2 Bed,1.5 Bath
2023,"Back Bay West, Back Bay, Boston","$4,000",2 Bed,1 Bath
2024,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,422",1 Bed,1 Bath
2025,"West Somerville, Somerville","$2,175",2 Bed,1 Bath
2026,"Watertown West End, Watertown","$2,200",2 Bed,1 Bath
2027,"Oak Square, Brighton, Boston","$2,800",3 Bed,1 Bath
2028,"East Watertown, Watertown","$2,800",3 Bed,1 Bath
2029,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,550",2 Bed,2 Bath
2030,"Beacon Hill, Boston","$3,700",2 Bed,1 Bath
2031,"Oak Square, Brighton, Boston","$4,200",4 Bed,4 Bath
2032,"Coolidge Corner, Brookline","$4,800",4 Bed,2 Bath
2033,"East Cambridge, Cambridge","$5,200",3 Bed,2 Bath
2034,"Oak Square, Brighton, Boston","$5,000",5 Bed,3.5 Bath
2035,"North Allston, Allston, Boston","$2,425",3 Bed,1 Bath
2036,"North Allston, Allston, Boston","$2,150",2 Bed,1 Bath
2037,"Allston, Boston","$3,000",3 Bed,2 Bath
2038,"Allston, Boston","$4,500",5 Bed,3 Bath
2039,"Mission Hill, Boston","$3,800",3 Bed,1 Bath
2040,"Lower East Mills - Cedar Grove, Dorchester, Boston","$4,300",1 Bed,1 Bath
2041,"St. Elizabeth's, Brighton, Boston","$2,800",3 Bed,1.5 Bath
2042,"Mission Hill, Boston","$3,465",2 Bed,1.5 Bath
2043,"Back Bay West, Back Bay, Boston","$4,000",2 Bed,1 Bath
2044,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,422",1 Bed,1 Bath
2045,"West Somerville, Somerville","$2,175",2 Bed,1 Bath
2046,"St. Elizabeth's, Brighton, Boston","$3,100",4 Bed,1 Bath
2047,"Oak Square, Brighton, Boston","$2,700",3 Bed,1 Bath
2048,"Mission Hill, Boston","$3,800",4 Bed,1 Bath
2049,"St. Elizabeth's, Brighton, Boston","$1,750",1 Bed,1 Bath
2050,"Mission Hill, Boston","$5,650",5 Bed,2 Bath
2051,"St. Elizabeth's, Brighton, Boston","$1,625",1 Bed,1 Bath
2052,"North End, Boston","$2,800",2 Bed,1 Bath
2053,"Back Bay East, Back Bay, Boston","$2,600",1 Bed,1 Bath
2054,"Mission Hill, Boston","$4,400",3 Bed,2 Bath
2055,"Coolidge Corner, Brookline","$5,600",5 Bed,2 Bath
2056,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,350",1 Bed,1 Bath
2057,"Mission Hill, Boston","$4,612",3 Bed,2 Bath
2058,"Oak Square, Brighton, Boston","$2,800",3 Bed,1.5 Bath
2059,"St. Elizabeth's, Brighton, Boston","$3,000",2 Bed,1 Bath
2060,"Beacon Hill, Boston","$3,000",2 Bed,1 Bath
2061,"Mission Hill, Boston","$3,465",2 Bed,1.5 Bath
2062,"Back Bay West, Back Bay, Boston","$4,000",2 Bed,1 Bath
2063,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,422",1 Bed,1 Bath
2064,"West Somerville, Somerville","$2,175",2 Bed,1 Bath
2065,"St. Elizabeth's, Brighton, Boston","$3,100",4 Bed,1 Bath
2066,"West End, Waltham","$2,724",1 Bed,1.5 Bath
2067,"Allston, Boston","$1,795",1 Bed,1 Bath
2068,"Oak Square, Brighton, Boston","$2,600",3 Bed,2 Bath
2069,"Oak Square, Brighton, Boston","$2,900",3 Bed,1 Bath
2070,"Oak Square, Brighton, Boston","$3,150",3 Bed,2 Bath
2071,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,976",1 Bed,1 Bath
2072,"South Side, Waltham","$3,500",5 Bed,2 Bath
2073,"Commonwealth, Brighton, Boston","$4,500",5 Bed,2 Bath
2074,"Mission Hill, Boston","$3,800",4 Bed,2 Bath
2075,"Commonwealth, Brighton, Boston","$3,300",3 Bed,1 Bath
2076,"Commonwealth, Brighton, Boston","$4,200",5 Bed,3 Bath
2077,"Commonwealth, Brighton, Boston","$3,500",5 Bed,1 Bath
2078,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,100",1 Bed,1 Bath
2079,"Coolidge Corner, Brookline","$5,100",3 Bed,2 Bath
2080,"Mission Hill, Boston","$3,845",4 Bed,1 Bath
2081,"Oak Square, Brighton, Boston","$3,600",4 Bed,2 Bath
2082,"St. Elizabeth's, Brighton, Boston","$3,100",4 Bed,1 Bath
2083,"Mission Hill, Boston","$4,400",4 Bed,1 Bath
2084,"Lower Roxbury, Roxbury, Boston","$2,400",2 Bed,1 Bath
2085,"West End, Waltham","$2,724",1 Bed,1.5 Bath
2086,"South Medford, Medford","$5,500",6 Bed,5 Bath
2087,"Allston, Boston","$2,295",2 Bed,1 Bath
2088,"Allston, Boston","$6,500",6 Bed,2 Bath
2089,"Commonwealth, Brighton, Boston","$4,800",6 Bed,3 Bath
2090,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,600",2 Bed,2 Bath
2091,"Coolidge Corner, Brookline","$3,900",3 Bed,1 Bath
2092,"Cleveland Circle, Brookline","$4,500",4 Bed,2 Bath
2093,"Strawberry Hill, Cambridge","$2,658",2 Bed,1 Bath
2094,"Lower Roxbury, Roxbury, Boston","$3,000",2 Bed,1 Bath
2095,"Brookline Village, Brookline","$3,000",3 Bed,2 Bath
2096,"Hyde Square, Jamaica Plain, Boston","$4,400",4 Bed,2 Bath
2097,"Brookline Village, Brookline","$3,400",2 Bed,2 Bath
2098,"Downtown Boston, Boston","$3,448",1 Bed,1 Bath
2099,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,400",1 Bed,1 Bath
2100,"North Allston, Allston, Boston","$3,600",4 Bed,2 Bath
2101,"Mission Hill, Boston","$4,400",4 Bed,1 Bath
2102,"Mission Hill, Boston","$3,000",3 Bed,1 Bath
2103,"Lower Roxbury, Roxbury, Boston","$2,400",2 Bed,1 Bath
2104,"West End, Waltham","$2,724",1 Bed,1.5 Bath
2105,"West Revere, Malden","$1,825",2 Bed,2.5 Bath
2106,"Neighborhood Nine, Cambridge","$3,300",3 Bed,2 Bath
2107,"East Cambridge, Cambridge","$4,390",2 Bed,2 Bath
2108,"Beacon Hill, Boston","$3,000",2 Bed,1 Bath
2109,"Commonwealth, Brighton, Boston","$1,825",1 Bed,1 Bath
2110,"Oak Square, Brighton, Boston","$2,700",3 Bed,1 Bath
2111,"Oak Square, Brighton, Boston","$5,000",5 Bed,4 Bath
2112,"Oak Square, Brighton, Boston","$2,600",3 Bed,1 Bath
2113,"Hyde Square, Jamaica Plain, Boston","$2,800",4 Bed,1 Bath
2114,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,600",3 Bed,1 Bath
2115,"Coolidge Corner, Brookline","$3,700",2 Bed,2 Bath
2116,"Oak Square, Brighton, Newton","$3,400",4 Bed,2 Bath
2117,"Allston, Boston","$4,950",4 Bed,2 Bath
2118,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,600",4 Bed,2 Bath
2119,"Eagle Hill, East Boston, Boston","$3,000",4 Bed,3 Bath
2120,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,100",2 Bed,1 Bath
2121,"West Revere, Malden","$1,825",2 Bed,2.5 Bath
2122,"Downtown Boston, Boston","$2,689",Studio,1 Bath
2123,"Downtown Boston, Boston","$4,095",2 Bed,2 Bath
2124,"Downtown Boston, Boston","$3,100",1 Bed,1 Bath
2125,"North End, Boston","$3,800",2 Bed,1 Bath
2126,"Washington Park, Roxbury, Boston","$3,500",4 Bed,2 Bath
2127,"Coolidge Corner, Brookline","$2,900",2 Bed,1 Bath
2128,"Oak Square, Brighton, Boston","$2,900",3 Bed,2 Bath
2129,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,200",3 Bed,1 Bath
2130,"Mission Hill, Boston","$3,900",4 Bed,1 Bath
2131,"Jeffries Point - Airport, East Boston, Boston","$2,000",2 Bed,1 Bath
2132,"St. Elizabeth's, Brighton, Boston","$2,700",3 Bed,1.5 Bath
2133,"Lower Roxbury, Roxbury, Boston","$2,600",1 Bed,1 Bath
2134,"West Newton, Newton","$2,700",3 Bed,1 Bath
2135,"Cambridgeport, Cambridge","$3,000",3 Bed,1 Bath
2136,"Mission Hill, Boston","$3,675",4 Bed,1 Bath
2137,"Allston, Boston","$3,600",4 Bed,2 Bath
2138,"Oak Square, Brighton, Boston","$2,800",4 Bed,2 Bath
2139,"Arlington Center, Arlington","$2,500",3 Bed,1 Bath
2140,"Commonwealth, Brighton, Boston","$4,000",6 Bed,2 Bath
2141,"West Revere, Malden","$1,825",2 Bed,2.5 Bath
2142,"Downtown Boston, Boston","$2,689",Studio,1 Bath
2143,"Downtown Boston, Boston","$4,095",2 Bed,2 Bath
2144,"Downtown Boston, Boston","$3,100",1 Bed,1 Bath
2145,"North End, Boston","$3,800",2 Bed,1 Bath
2146,"Coolidge Corner, Brookline","$3,400",2 Bed,1 Bath
2147,"D Street - West Broadway, South Boston, Boston","$2,600",1 Bed,1 Bath
2148,"Washington Square, Brookline","$3,100",2 Bed,1 Bath
2149,"Allston, Boston","$3,620",4 Bed,2 Bath
2150,"Mission Hill, Boston","$4,500",4 Bed,1 Bath
2151,"Harrison Lenox, South End, Boston","$3,950",2 Bed,2 Bath
2152,"Telegraph Hill, South Boston, Boston","$3,400",2 Bed,2 Bath
2153,"Mission Hill, Boston","$3,900",4 Bed,1 Bath
2154,"Coolidge Corner, Brookline","$3,750",3 Bed,2 Bath
2155,"Oak Square, Brighton, Boston","$2,400",3 Bed,1 Bath
2156,"Washington Square, Brookline","$6,500",4 Bed,3 Bath
2157,"Prudential - St. Botolph, Back Bay, Boston","$3,500",2 Bed,1 Bath
2158,"Beacon Hill, Boston","$3,000",2 Bed,1 Bath
2159,"Oak Square, Brighton, Boston","$3,950",4 Bed,2 Bath
2160,"Mission Hill, Boston","$3,900",3 Bed,2.5 Bath
2161,"Downtown Boston, Boston","$2,689",Studio,1 Bath
2162,"Downtown Boston, Boston","$4,095",2 Bed,2 Bath
2163,"Downtown Boston, Boston","$3,100",1 Bed,1 Bath
2164,"North End, Boston","$3,800",2 Bed,1 Bath
2165,"Coolidge Corner, Brookline","$6,600",6 Bed,3 Bath
2166,"Newton Corner, Watertown","$2,325",3 Bed,1 Bath
2167,"East Somerville, Somerville","$1,700",1 Bed,1 Bath
2168,"St. Elizabeth's, Brighton, Boston","$3,450",3 Bed,2 Bath
2169,"Allston, Boston","$5,200",6 Bed,3 Bath
2170,"Downtown Boston, Boston","$4,595",2 Bed,2 Bath
2171,"Downtown Boston, Boston","$4,075",2 Bed,2 Bath
2172,"Downtown Boston, Boston","$3,049",1 Bed,1 Bath
2173,"Downtown Boston, Boston","$3,449",1 Bed,1 Bath
2174,"Downtown Boston, Boston","$6,025",2 Bed,2 Bath
2175,"North End, Boston","$3,800",2 Bed,1 Bath
2176,"Beacon Hill, Boston","$2,250",1 Bed,1 Bath
2177,"Oak Square, Brighton, Boston","$4,500",5 Bed,2 Bath
2178,"Eagle Hill, East Boston, Boston","$2,350",2 Bed,1 Bath
2179,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,456",1 Bed,1.5 Bath
2180,"Commonwealth, Brighton, Boston","$2,625",2 Bed,1 Bath
2181,"Broadway, Chelsea","$1,775",1 Bed,1 Bath
2182,"Oak Square, Brighton, Boston","$2,900",3 Bed,1 Bath
2183,"Oak Square, Brighton, Boston","$3,050",3 Bed,1 Bath
2184,"Jamaica Central - South Sumner, Jamaica Plain, Boston","$2,095",2 Bed,1 Bath
2185,"Allston, Boston","$2,475",2 Bed,1 Bath
2186,"Highland Park, Roxbury, Boston","$3,300",3 Bed,1.5 Bath
2187,"Oak Square, Brighton, Boston","$2,400",2 Bed,1 Bath
2188,"Mission Hill, Boston","$3,800",2 Bed,1 Bath
2189,"Columbus, South End, Boston","$2,900",2 Bed,1 Bath
2190,"Jamaica Central - South Sumner, Jamaica Plain, Boston","$2,250",2 Bed,1 Bath
2191,"Washington Square, Brookline","$2,400",1 Bed,1 Bath
2192,"Beacon Hill, Boston","$9,000",3 Bed,2.5 Bath
2193,"Mission Hill, Boston","$3,600",3 Bed,1 Bath
2194,"Shawmut, South End, Boston","$2,775",1 Bed,1 Bath
2195,"Eagle Hill, East Boston, Boston","$4,400",6 Bed,2 Bath
2196,"Coolidge Corner, Brookline","$2,395",1 Bed,1 Bath
2197,"Mission Hill, Boston","$6,875",7 Bed,2 Bath
2198,"St. Elizabeth's, Brighton, Boston","$3,850",3 Bed,2 Bath
2199,"Bank Square, Waltham","$2,800",3 Bed,1 Bath
2200,"Oak Square, Brighton, Boston","$3,000",4 Bed,2 Bath
2201,"Broadway, Chelsea","$1,775",1 Bed,1 Bath
2202,"Oak Square, Brighton, Boston","$2,900",3 Bed,1 Bath
2203,"Chinatown - Leather District, Boston","$4,125",1 Bed,1 Bath
2204,"Downtown Boston, Boston","$3,375",1 Bed,1 Bath
2205,"Coolidge Corner, Brookline","$2,500",1 Bed,1 Bath
2206,"Oak Square, Brighton, Boston","$2,900",3 Bed,2.5 Bath
2207,"North Cambridge, Cambridge","$3,000",2 Bed,2 Bath
2208,"Oak Square, Brighton, Boston","$3,800",4 Bed,2 Bath
2209,"Oak Square, Brighton, Boston","$2,800",4 Bed,1 Bath
2210,"Lower Roxbury, Roxbury, Boston","$2,600",1 Bed,1 Bath
2211,"Neighborhood Nine, Cambridge","$2,550",2 Bed,1 Bath
2212,"St. Elizabeth's, Brighton, Boston","$2,400",2 Bed,1 Bath
2213,"North Allston, Allston, Boston","$2,650",3 Bed,1 Bath
2214,"Coolidge Corner, Brookline","$2,650",1 Bed,1 Bath
2215,"Oak Square, Brighton, Boston","$4,000",4 Bed,2.5 Bath
2216,"Oak Square, Brighton, Boston","$3,400",4 Bed,2 Bath
2217,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,500",1 Bed,1 Bath
2218,"Commonwealth, Brighton, Boston","$4,200",5 Bed,2 Bath
2219,"Mid-Cambridge, Cambridge","$2,500",1 Bed,1 Bath
2220,"Mid-Cambridge, Cambridge","$2,395",2 Bed,1 Bath
2221,"Broadway, Chelsea","$1,775",1 Bed,1 Bath
2222,"Oak Square, Brighton, Boston","$2,900",3 Bed,1 Bath
2223,"Chinatown - Leather District, Boston","$4,125",1 Bed,1 Bath
2224,"Downtown Boston, Boston","$3,375",1 Bed,1 Bath
2225,"Downtown Boston, Boston","$3,916",2 Bed,2 Bath
2226,"Mission Hill, Boston","$4,099",4 Bed,2 Bath
2227,"Coolidge Corner, Brookline","$4,900",4 Bed,2 Bath
2228,"Coolidge Corner, Brookline","$3,900",3 Bed,1 Bath
2229,"Mission Hill, Boston","$3,000",3 Bed,1 Bath
2230,"Commonwealth, Brighton, Boston","$1,795",1 Bed,1 Bath
2231,"Commonwealth, Brighton, Boston","$2,100",2 Bed,1 Bath
2232,"Riverside, Cambridge","$3,290",2 Bed,2 Bath
2233,"Coolidge Corner, Brookline","$2,095",1 Bed,1 Bath
2234,"Oak Square, Brighton, Boston","$2,495",2 Bed,2 Bath
2235,"Allston, Boston","$6,000",7 Bed,3 Bath
2236,"Allston, Boston","$6,000",6 Bed,3 Bath
2237,"D Street - West Broadway, South Boston, Boston","$3,250",2 Bed,2.5 Bath
2238,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,100",1 Bed,1 Bath
2239,"Allston, Boston","$3,600",4 Bed,2 Bath
2240,"Mission Hill, Boston","$3,000",3 Bed,1 Bath
2241,"Commonwealth, Brighton, Boston","$3,900",4 Bed,2 Bath
2242,"Chinatown - Leather District, Boston","$4,125",1 Bed,1 Bath
2243,"Downtown Boston, Boston","$3,375",1 Bed,1 Bath
2244,"Downtown Boston, Boston","$3,916",2 Bed,2 Bath
2245,"St. Elizabeth's, Brighton, Boston","$3,600",4 Bed,2 Bath
2246,"Oak Square, Brighton, Boston","$4,000",5 Bed,2 Bath
2247,"Newton Corner, Newton","$1,895",1 Bed,1 Bath
2248,"Hyde Square, Jamaica Plain, Boston","$3,800",4 Bed,2 Bath
2249,"St. Elizabeth's, Brighton, Boston","$4,500",4 Bed,2 Bath
2250,"Oak Square, Brighton, Boston","$5,500",5 Bed,3 Bath
2251,"Telegraph Hill, South Boston, Boston","$3,000",2 Bed,1 Bath
2252,"Downtown Boston, Boston","$3,955",2 Bed,1 Bath
2253,"Highland Park, Roxbury, Boston","$3,700",4 Bed,2 Bath
2254,"Brookline Village, Brookline","$3,825",4 Bed,1 Bath
2255,"Commonwealth, Brighton, Boston","$2,525",2 Bed,1 Bath
2256,"Coolidge Corner, Brookline","$3,050",2 Bed,1 Bath
2257,"Commonwealth, Brighton, Boston","$1,850",1 Bed,1 Bath
2258,"Back Bay East, Back Bay, Boston","$8,500",3 Bed,3 Bath
2259,"Egleston Square, Jamaica Plain, Boston","$3,195",3 Bed,1 Bath
2260,"Commonwealth, Brighton, Boston","$4,500",5 Bed,2 Bath
2261,"Downtown Boston, Boston","$3,916",2 Bed,2 Bath
2262,"Mission Hill, Boston","$4,200",4 Bed,1.5 Bath
2263,"Commonwealth, Brighton, Boston","$4,000",6 Bed,2 Bath
2264,"Coolidge Corner, Brookline","$4,590",3 Bed,2.5 Bath
2265,"Commonwealth, Brighton, Boston","$4,000",4 Bed,2 Bath
2266,"Mission Hill, Boston","$2,150",2 Bed,1 Bath
2267,"Uphams Corner - Jones Hill, Dorchester, Boston","$3,500",4 Bed,2 Bath
2268,"Oak Square, Brighton, Boston","$2,500",3 Bed,1.5 Bath
2269,"Allston, Boston","$3,700",5 Bed,1.5 Bath
2270,"Oak Square, Brighton, Boston","$2,200",2 Bed,1 Bath
2271,"Commonwealth, Brighton, Boston","$4,300",4 Bed,2 Bath
2272,"Oak Square, Brighton, Boston","$2,900",3 Bed,1 Bath
2273,"Allston, Boston","$3,620",4 Bed,2 Bath
2274,"Coolidge Corner, Boston","$1,850",1 Bed,1 Bath
2275,"Mission Hill, Boston","$3,200",3 Bed,1 Bath
2276,"Newton Center, Newton","$3,800",2 Bed,2 Bath
2277,"Cochituate, Wayland","$2,895",3 Bed,2 Bath
2278,"St. Elizabeth's, Brighton, Boston","$2,995",4 Bed,1 Bath
2279,"Neighborhood Nine, Cambridge","$2,895",2 Bed,1 Bath
2280,"Commonwealth, Brighton, Boston","$2,450",2 Bed,1 Bath
2281,"Mission Hill, Boston","$4,200",4 Bed,1.5 Bath
2282,"Beacon Hill, Boston","$2,400",1 Bed,1 Bath
2283,"North End, Boston","$7,500",3 Bed,3 Bath
2284,"Mission Hill, Boston","$2,445",2 Bed,1 Bath
2285,"Allston, Boston","$1,875",1 Bed,1 Bath
2286,"St. Elizabeth's, Brighton, Boston","$1,795",1 Bed,1 Bath
2287,"Columbus, South End, Boston","$4,800",3 Bed,1.5 Bath
2288,"Commonwealth, Brighton, Boston","$1,950",2 Bed,1 Bath
2289,"Oak Square, Brighton, Boston","$3,400",4 Bed,2 Bath
2290,"Lower Roxbury, Roxbury, Boston","$3,500",2 Bed,1 Bath
2291,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,150",1 Bed,1 Bath
2292,"Allston, Boston","$1,900",1 Bed,1 Bath
2293,"St. Elizabeth's, Brighton, Boston","$1,795",2 Bed,1 Bath
2294,"Commonwealth, Brighton, Boston","$1,795",2 Bed,1 Bath
2295,"St. Elizabeth's, Brighton, Boston","$2,499",2 Bed,1 Bath
2296,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$5,800",4 Bed,2 Bath
2297,"Mission Hill, Boston","$2,500",1 Bed,1 Bath
